Race,Date,Place,Time,Category,Sex,Country,Lane,Person 1,Person 2,split time 1,split time 2,split time 3,Total Time,Final Rank,Air Temp,Wind Speed,Wind Direction,Day,Month,Year,Competiton Type_WORLD CHAMP,Competiton Type_WORLD CUP,Competiton Type_WORLDCHAMPIONSHIPS,Competiton Type_WORLDCHAMPIONSHIPS  ,Competiton Type_WORLDCUP,Competition Round_FINAL A,Competition Round_FINAL B,Competition Round_FINAL C,Competition Round_HEAT,Competition Round_SEMI FINAL,Competition Round_SEMIFINAL
18.05.2013_9:54,18.05.2013,RACICE,9:54,SEN,M,FRA,4.0,BURGER GUILLAUME,URBAN QUENTIN,46,96,148,199,1.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,False,True,False,False,False,False
18.05.2013_9:54,18.05.2013,RACICE,9:54,SEN,M,DEN,5.0,BOE Niels,AXELSEN William,50,100,149,200,2.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,False,True,False,False,False,False
18.05.2013_9:54,18.05.2013,RACICE,9:54,SEN,M,CAN,3.0,CLARKE ROB,JESSOP ANDREW,48,99,150,201,3.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,False,True,False,False,False,False
18.05.2013_9:54,18.05.2013,RACICE,9:54,SEN,M,NZL,7.0,BATS Jasper,FITZGERALD Darryl,56,101,152,203,4.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,False,True,False,False,False,False
18.05.2013_9:54,18.05.2013,RACICE,9:54,SEN,M,BEL,8.0,BROEKX Toon,BROEKX Piet,49,98,151,204,5.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,False,True,False,False,False,False
18.05.2013_9:54,18.05.2013,RACICE,9:54,SEN,M,FIN,1.0,HAKALA Jeremy,NYKÄNEN Miika,51,102,154,207,6.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,False,True,False,False,False,False
18.05.2013_9:54,18.05.2013,RACICE,9:54,SEN,M,KAZ,6.0,DERGUNOV ALEXEY,ALEXEYEV YEVGENIY,54,105,158,207,7.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,False,True,False,False,False,False
18.05.2013_9:54,18.05.2013,RACICE,9:54,SEN,M,GBR,9.0,BOWLEY Mathew,TERRY Dean,52,103,156,208,8.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,False,True,False,False,False,False
18.05.2013_11:09,18.05.2013,RACICE,11:09,SEN,M,GER,,RENDSCHMIDT Max,GROSS Marcus,45,88,141,190,1.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,True,False,False,False,False,False
18.05.2013_11:09,18.05.2013,RACICE,11:09,SEN,M,SRB,,PAJIC Dejan,STANOJEVIC Dusko,46,97,142,191,2.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,True,False,False,False,False,False
18.05.2013_11:09,18.05.2013,RACICE,11:09,SEN,M,RUS,,MEDVEDEV Ilya,RYAKHOV Anton,50,96,144,192,3.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,True,False,False,False,False,False
18.05.2013_11:09,18.05.2013,RACICE,11:09,SEN,M,BLR,,ZHYHADLA Dzianis,BIALKO Vitaliy,48,104,152,193,4.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,True,False,False,False,False,False
