Date;Place;Time;Category;Sex;Country;Lane;Person 1;Person 2;split time 1;split time 2;split time 3;Total Time;Final Rank;Air Temp;Wind Speed;Wind Direction;Competiton Type;Competition Round
17.05.2013;RACICE;11:19;SEN;M;FIN;6;HAKALA Jeremy;NYKÄNEN Miika;53.230;1:43.340;2:37.760;3:30.841;7;18;;E;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
17.05.2013;RACICE;15:34;SEN;M;GER;6;RENDSCHMIDT Max;GROSS Marcus;49.920;1:33.240;2:31.890;3:24.683;1;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:34;SEN;M;RUS;5;SPESIVTSEV Maxim;CHERVOV Nikolay;51.620;1:41.630;2:32.610;3:26.440;2;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:34;SEN;M;BLR;2;ZHYHADLA Dzianis;BIALKO Vitaliy;50.400;1:43.200;2:35.600;3:26.683;3;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:34;SEN;M;DEN;3;BOE Niels;AXELSEN William;50.830;1:42.150;2:34.770;3:27.706;4;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:34;SEN;M;NZL;4;BATS Jasper;FITZGERALD Darryl;52.240;1:44.360;2:35.260;3:27.826;5;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:34;SEN;M;NZL;8;FITZGERALD Jarrod;QUICKENDEN Zac;53.680;1:48.520;2:42.730;3:44.001;6;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:34;SEN;M;BLR;7;LIAPIOSHKA Aliksandr;LITVINCHUK Artur;52.800;1:46.230;2:44.060;3:48.041;7;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:34;SEN;M;CHN;1;LI Kai;LIU Lifan;54.840;1:51.700;2:50.820;3:52.577;8;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:34;SEN;M;ITA;9;CECCHINI Riccardo;CHIERINI Edoardo;54.240;1:54.070;3:08.860;4:18.575;9;18;;E;WORLD CUP;SEMIFINAL
;;;;;;;;;;;;;;;;;;
17.05.2013;RACICE;15:41;SEN;M;CZE;5;DAVÍDEK Pavel;KUČERA Patrik;;;;3:25.633;1;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:41;SEN;M;LTU;7;NEKRIOSIUS Ricardas;OLIJNIK Andrej;;;;3:25.867;2;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:41;SEN;M;CZE;6;ADAM Jakub;ODVÁRKO Michael;;;;3:26.167;3;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:41;SEN;M;KAZ;3;DERGUNOV ALEXEY;ALEXEYEV YEVGENIY;;;;3:26.197;4;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:41;SEN;M;CAN;4;CLARKE ROB;JESSOP ANDREW;;;;3:29.066;5;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:41;SEN;M;FIN;9;HAKALA Jeremy;NYKÄNEN Miika;;;;3:38.202;6;18;;E;WORLD CUP;SEMIFINAL
